04:32.9,868
04:33.8,889
04:34.8,997
04:35.8,991
04:36.8,977
04:37.7,958
04:38.7,968
04:39.7,984
04:40.7,991
04:41.7,977
04:42.6,961
04:43.6,964
04:44.6,967
04:45.5,970
04:46.5,959
04:47.4,945
04:48.4,931
04:49.3,942
04:50.3,964
04:51.2,975
04:52.2,968
04:53.2,960
04:54.1,968
04:55.1,979
04:56.1,989
04:57.1,981
04:58.0,958
04:59.0,956
05:00.0,965
05:00.9,978
05:01.9,961
05:02.8,951
05:03.8,951
05:04.8,973
05:05.8,995
05:06.8,1007
05:07.7,979
05:08.7,968
05:09.7,985
05:10.7,992
05:11.6,926
05:12.4,830
05:13.2,793
05:14.0,779
05:14.9,877
05:15.9,1027
05:16.9,1010
05:17.9,993
05:18.9,980
05:19.9,979
05:20.9,983
05:21.8,971
05:22.8,951
05:23.8,960
05:24.7,970
05:25.7,976
05:26.7,978
05:27.6,957
05:28.6,953
05:29.6,968
05:30.5,977
05:31.5,967
05:32.5,963
05:33.4,982
05:34.4,993
05:35.4,995
05:36.4,975
05:37.4,970
05:38.4,985
05:39.4,1002
05:40.4,1013
05:41.4,987
05:42.3,977
05:43.3,994
05:44.3,1013
05:45.4,1011
05:46.3,988
05:47.3,960
05:48.3,956
05:49.2,969
05:50.2,980
05:51.2,994
05:52.2,980
05:53.2,970
05:54.1,981
05:55.1,989
05:56.1,993
05:57.1,972
05:58.0,957
05:59.0,958
06:00.0,958
06:00.9,969
06:01.9,966
06:02.8,949
06:03.8,922
06:04.6,857
06:05.5,922
06:06.5,989
06:07.5,984
06:08.5,975
06:09.5,962
06:10.4,942
06:11.3,910
06:12.2,909
06:13.2,943
06:14.1,960
06:15.1,941
06:16.0,890
06:16.8,834
06:17.6,847
06:18.6,931
06:19.6,992
06:20.5,961
06:21.5,937
06:22.3,882
06:23.2,830
06:24.0,806
06:24.9,901
06:25.7,862
06:26.5,805
06:27.3,763
06:28.1,774
06:28.9,828
06:29.8,859
06:30.6,854
06:31.5,850
06:32.3,817
06:33.0,769
06:33.8,769
06:34.6,780
06:35.4,795
06:36.2,782
06:37.0,801
06:37.8,774
06:38.5,743
06:39.2,741
06:40.0,802
06:40.9,843
06:41.7,839
06:42.6,845
06:43.4,844
06:44.2,827
06:45.0,792
06:45.8,802
06:46.7,838
06:47.5,858
06:48.4,846
06:49.2,841
06:50.1,848
06:50.9,811
06:51.6,760
06:52.4,749
06:53.1,771
06:54.0,814
06:54.8,846
06:55.7,860
06:56.5,878
06:57.4,899
06:58.3,845
06:59.1,780
06:59.9,788
07:00.7,797
07:01.4,795
07:02.2,798
07:03.0,796
07:03.8,796
07:04.7,824
07:05.4,760
07:06.2,737
07:06.9,737
07:07.6,738
07:08.4,754
07:09.2,815
07:10.0,846
07:10.9,810
07:11.6,739
07:12.3,729
07:13.1,731
07:13.8,754
07:14.6,819
07:15.5,887
07:16.5,957
07:17.5,984
07:18.3,882
07:19.2,827
07:20.0,813
07:20.8,830
07:21.6,836
07:22.5,845
07:23.3,851
07:24.2,866
07:25.1,873
07:25.9,805
07:26.7,787
07:27.5,802
07:28.3,820
07:29.1,840
07:30.0,847
07:30.8,828
07:31.6,771
07:32.4,775
07:33.1,793
07:34.0,804
07:34.8,813
07:35.6,830
07:36.4,784
07:37.1,752
07:37.9,745
07:38.7,785
07:39.5,811
07:40.3,806
07:41.1,769
07:41.8,751
07:42.5,743
07:43.3,761
07:44.1,783
07:44.9,782
07:45.7,800
07:46.4,764
07:47.2,729
07:47.9,728
07:48.6,737
07:49.4,752
07:50.1,765
07:51.0,815
07:51.7,776
07:52.5,727
07:53.2,724
07:53.9,737
07:54.7,821
07:55.6,900
07:56.5,892
07:57.4,861
07:58.2,797
07:58.9,753
07:59.7,743
08:00.5,787
08:01.3,806
08:02.1,811
08:02.9,785
08:03.6,750
08:04.4,769
08:05.2,809
08:06.0,823
08:06.8,812
08:07.6,795
08:08.4,773
08:09.2,759
08:09.9,726
08:10.6,710
08:11.3,708
08:12.0,715
08:12.8,731
08:13.5,744
08:14.3,757
08:15.0,759
08:15.7,719
08:16.4,709
08:17.2,731
08:17.9,765
08:18.8,862
08:19.9,1124
08:20.9,1003
08:21.9,981
08:22.9,974
08:23.9,973
08:24.8,974
08:25.8,962
08:26.7,946
08:27.7,939
08:28.6,939
08:29.6,948
08:30.5,960
08:31.5,967
08:32.4,954
08:33.4,949
08:34.3,949
08:35.3,967
08:36.3,981
