0,855
0.87,871
1.745,874
2.561,816
3.36,799
4.191,832
5.038,847
5.88,842
6.661,782
7.465,804
8.334,869
9.25,914
10.173,922
11.03,856
11.818,788
12.612,795
13.47,859
14.416,941
15.401,981
16.36,955
17.191,833
18.064,874
18.998,935
19.964,970
20.867,907
21.711,848
22.616,904
23.573,956
24.519,945
25.373,854
26.266,893
27.183,917
28.092,907
28.966,872
29.912,944
30.872,962
31.789,918
32.623,835
33.47,848
34.418,949
35.399,982
36.366,966
37.222,855
38.103,880
39.042,940
40.028,987
40.943,916
41.81,868
42.793,984
43.735,943
44.575,840
45.434,859
46.398,964
47.397,998
48.391,994
49.271,880
50.119,848
51,881
51.896,896
52.798,901
53.625,825
54.408,781
55.189,783
56.047,859
56.992,946
57.965,973
58.905,939
59.775,869
60.763,990
61.771,1010
62.758,989
63.705,945
64.552,846
65.448,895
66.352,907
67.277,927
68.166,891
69.001,832
69.854,851
70.758,902
71.72,958
72.698,975
73.623,922
74.468,849
75.354,890
76.319,969
77.269,950
78.19,921
79.007,817
79.815,810
80.693,880
81.638,947
82.611,972
83.511,900
84.358,847
85.28,919
86.212,930
87.159,945
88.019,862
88.873,856
89.776,905
90.695,920
91.581,886
92.422,841
93.314,889
94.227,911
95.136,907
96.01,876
96.815,806
97.608,794
98.461,855
99.392,932
100.39,999
101.314,921
102.188,872
103.12,930
104.064,947
105.012,950
105.92,910
106.768,848
107.653,884
108.551,897
109.449,896
110.302,851
111.199,895
114.802,856
115.757,955
116.758,1001
117.777,1023
118.732,959
119.712,984
120.724,1012
121.751,1026
122.704,952
123.556,851
124.478,920
125.488,1008
126.541,1056
127.477,938
128.431,956
129.443,1013
130.465,1023
131.431,967
132.297,866
133.156,859
134.07,914
134.992,922
135.925,934
136.799,875
137.693,894
138.57,877
139.415,845
140.228,811
141.099,869
142.04,939
143.006,968
143.958,953
144.822,865
145.703,881
146.643,941
147.6,958
148.533,932
149.396,861
150.295,897
151.197,904
152.083,888
152.904,823
153.727,824
154.592,865
155.495,903
156.403,903
157.245,838
158.103,854
159.019,914
159.954,933
160.887,931
161.724,843
162.583,865
163.463,886
164.384,921
165.298,914
166.135,837
166.974,839
167.86,886
168.775,915
169.705,929
170.558,852
171.424,865
172.32,897
173.236,916
174.16,924
174.996,839
175.826,832
176.694,870
177.598,900
178.524,923
179.4,873
180.271,874
181.211,942
182.183,974
183.155,972
184.062,907
184.967,905
185.876,909
186.797,921
187.672,875
188.503,831
189.386,882
190.32,933
191.267,948
192.212,945
193.063,851
193.974,911
194.932,958
195.935,1003
196.91,975
197.845,935
198.79,945
199.74,950
200.694,955
201.583,890
202.514,930
203.474,959
204.438,963
205.342,905
206.253,913
207.182,931
208.146,964
209.052,907
209.958,907
210.896,935
211.823,925
212.703,878
213.564,862
214.453,890
215.366,914
216.272,905
217.115,843
218.014,899
218.95,935
219.903,953
220.824,921
221.658,836
222.509,852
223.367,859
224.246,880
225.115,870
225.944,830
226.831,886
227.74,907
228.622,880
229.487,865
230.3,814
231.159,860
232.011,852
232.845,834
233.655,810
234.431,777
235.249,819
236.086,838
236.973,881
237.873,894
238.685,807
239.475,795
240.311,842
241.167,862
242.025,855
242.86,832
243.648,785
244.453,804
245.321,866
246.215,892
247.121,910
248.004,887
248.832,832
249.712,881
250.615,903
251.543,928
252.511,963
253.479,963
254.477,993
255.449,978
256.372,929
257.271,905
258.203,932
259.145,942
260.047,902
260.902,856
261.788,887
262.734,947
263.69,952
264.619,926
265.47,848
266.355,887
267.276,924
268.23,957
269.154,922
270.017,862
270.968,950
271.934,968
272.917,984
273.831,915
274.721,891
275.649,929
276.647,999
277.612,965
278.542,930
279.574,1032
